review,label
"O pedido chegou atrasado e a comida estava fria",-1
"Atendimento excelente e comida deliciosa",1
"A embalagem estava rasgada, mas a comida estava boa",0
"Entrega muito rápida, adorei!",1
"A carne estava crua e o arroz sem tempero",-1
"Excelente variedade de pratos e sobremesas",1
"Esqueceram de enviar a bebida solicitada",-1
"O pedido veio certo e quentinho, adorei!",1
"Muito caro para a qualidade oferecida",-1
"Restaurante muito limpo e bem organizado",1
"Comida chegou em temperatura ideal, muito bom",1
"Demoraram para entregar e o aplicativo travou",-1
"O prato principal estava ótimo, mas a sobremesa ruim",0
"Funcionários muito simpáticos e prestativos",1
"Não recebi os talheres nem guardanapos", -1
"A pizza estava saborosa e crocante",1
"O atendimento no chat demorou demais", -1
"Recomendo o restaurante, comida de qualidade",1
"Pedido chegou fora do prazo", -1
"Comida saborosa, mas muito salgado",0
"O hambúrguer estava suculento e bem montado",1
"O arroz estava queimado e o feijão sem gosto",-1
"Entrega rápida e eficiente",1
"O aplicativo falhou na hora de pagar",-1
"Recomendo para amigos e familiares",1
"A comida veio misturada na embalagem",-1
"O suco estava gelado e fresco",1
"Cheguei a receber um pedido errado",-1
"A sopa estava perfeita, adorei!",1
"Muito barulho no restaurante, ruim para jantar",-1
